VP	Comp	RT	Error
114	incomp	321.517079000159	0
114	incomp	427.523723000149	0
114	comp	361.883029000182	0
114	comp	366.201127000068	0
114	comp	367.948345000059	0
114	incomp	379.995806000125	0
114	incomp	313.326178000125	0
114	comp	350.733891000118	0
114	comp	398.048155999959	0
114	incomp	441.659594000157	0
114	comp	303.908121999939	0
114	incomp	482.418016000111	0
114	incomp	354.627245000074	0
114	comp	392.236624000134	1
114	comp	353.554769000084	0
114	comp	329.288828000017	0
114	incomp	391.643278999936	0
114	comp	347.944720999976	0
114	incomp	426.012157000059	0
114	incomp	441.594914000007	0
114	comp	465.867604000096	0
114	comp	433.584951000057	0
114	comp	487.941703999923	0
114	incomp	391.272207999918	0
114	comp	377.57878299999	0
114	incomp	369.158322999965	0
114	comp	413.652629999888	0
114	comp	342.652215999806	0
114	incomp	327.559700000165	1
114	comp	467.871710000054	0
114	incomp	398.537427000065	0
114	comp	299.397663000036	0
114	comp	447.96976499947	0
114	incomp	419.607873999666	0
114	comp	371.483455000089	0
114	incomp	380.362272999719	0
114	incomp	379.87794799983	0
114	comp	437.170918999527	0
114	comp	439.384600999801	0
114	comp	510.949541000173	0
114	incomp	407.456820999869	0
114	comp	432.003929000075	0
114	comp	347.264304999953	0
114	incomp	349.879138999768	0
114	comp	396.087845999773	0
114	incomp	345.230330000049	0
114	incomp	355.884933999732	0
114	comp	363.094486000136	0
114	incomp	379.628096000033	0
114	incomp	365.990628999953	0
114	incomp	291.962327999954	0
114	comp	409.459493000213	0
114	comp	362.93775599961	0
114	incomp	451.085342999704	0
114	comp	305.514834999485	0
114	comp	381.225935999737	0
114	incomp	368.568326000059	0
114	comp	330.650974000037	0
114	incomp	333.881327999734	0
114	comp	319.426040999588	0
114	incomp	373.532455999793	0
114	comp	410.620687000119	0
114	incomp	365.429022999706	0
114	incomp	349.488561999806	0
114	incomp	441.11226799987	0
114	comp	295.476899999812	0
114	incomp	323.580427999786	0
114	incomp	357.315971999469	0
114	incomp	298.299008999948	0
114	comp	337.819979999949	0
114	comp	253.160037999805	0
114	comp	273.113004999686	0
114	incomp	305.23490899941	0
114	incomp	314.015404999736	0
114	comp	392.131292999693	0
114	incomp	457.423128999835	0
114	incomp	356.005604999609	0
114	comp	369.00075199992	0
114	comp	299.72198699943	0
114	comp	306.441584999448	0
114	comp	347.187251999912	0
114	comp	373.920748999808	0
114	incomp	335.879503999877	0
114	comp	305.229785999927	0
114	incomp	307.176900999821	0
114	incomp	307.857700999648	0
114	incomp	320.68662599977	0
114	incomp	324.155747000077	0
114	incomp	393.813855999724	0
114	incomp	369.394090999776	0
114	incomp	345.347747999767	0
114	incomp	350.534216000142	0
114	incomp	303.795112999978	0
114	incomp	378.379083999789	0
114	comp	475.882406999972	0
